Показатель	Страна	Год	Индекcы цен
Индекс потребительских цен, 2010 г.=100	Дания	1992	69.1
Индекс потребительских цен, 2010 г.=100	Дания	1993	70.0
Индекс потребительских цен, 2010 г.=100	Дания	1994	71.4
Индекс потребительских цен, 2010 г.=100	Дания	1995	72.9
Индекс потребительских цен, 2010 г.=100	Дания	1996	74.4
Индекс потребительских цен, 2010 г.=100	Дания	1997	76.0
Индекс потребительских цен, 2010 г.=100	Дания	1998	77.4
Индекс потребительских цен, 2010 г.=100	Дания	1999	79.4
Индекс потребительских цен, 2010 г.=100	Дания	2000	81.7
Индекс потребительских цен, 2010 г.=100	Дания	2001	83.6
Индекс потребительских цен, 2010 г.=100	Дания	2002	85.6
Индекс потребительских цен, 2010 г.=100	Дания	2003	87.4
Индекс потребительских цен, 2010 г.=100	Дания	2004	88.4
Индекс потребительских цен, 2010 г.=100	Дания	2005	90.0
Индекс потребительских цен, 2010 г.=100	Дания	2006	91.7
Индекс потребительских цен, 2010 г.=100	Дания	2007	93.3
Индекс потребительских цен, 2010 г.=100	Дания	2008	96.5
Индекс потребительских цен, 2010 г.=100	Дания	2009	97.7
Индекс потребительских цен, 2010 г.=100	Дания	2010	100.0
Индекс потребительских цен, 2010 г.=100	Дания	2011	102.8
Индекс потребительских цен, 2010 г.=100	Дания	2012	105.2
Индекс потребительских цен, 2010 г.=100	Дания	2013	106.0
Индекс потребительских цен, 2010 г.=100	Дания	2014	106.6
Индекс потребительских цен, 2010 г.=100	Дания	2015	107.1
Индекс потребительских цен, 2010 г.=100	Дания	2016	107.4
Индекс потребительских цен, 2010 г.=100	Дания	2017	108.6
Индекс потребительских цен, 2010 г.=100	Дания	2018	109.5
Индекс потребительских цен, 2010 г.=100	Дания	2019	110.4
Индекс потребительских цен, 2010 г.=100	Дания	2020	110.8
Индекс потребительских цен, 2010 г.=100	Дания	2021	112.9
Индекс потребительских цен, 2010 г.=100	Дания	2022	121.6
Индекс потребительских цен, 2010 г.=100	Израиль	1990	32.5
Индекс потребительских цен, 2010 г.=100	Израиль	1991	38.7
Индекс потребительских цен, 2010 г.=100	Израиль	1992	43.3
Индекс потребительских цен, 2010 г.=100	Израиль	1993	48.1
Индекс потребительских цен, 2010 г.=100	Израиль	1994	54.0
Индекс потребительских цен, 2010 г.=100	Израиль	1995	59.4
Индекс потребительских цен, 2010 г.=100	Израиль	1996	66.2
Индекс потребительских цен, 2010 г.=100	Израиль	1997	72.1
Индекс потребительских цен, 2010 г.=100	Израиль	1998	76.0
Индекс потребительских цен, 2010 г.=100	Израиль	1999	80.0
Индекс потребительских цен, 2010 г.=100	Израиль	2000	80.8
Индекс потребительских цен, 2010 г.=100	Израиль	2001	81.8
Индекс потребительских цен, 2010 г.=100	Израиль	2002	86.5
Индекс потребительских цен, 2010 г.=100	Израиль	2003	87.1
Индекс потребительских цен, 2010 г.=100	Израиль	2004	86.8
Индекс потребительских цен, 2010 г.=100	Израиль	2005	87.9
Индекс потребительских цен, 2010 г.=100	Израиль	2006	89.7
Индекс потребительских цен, 2010 г.=100	Израиль	2007	90.1
Индекс потребительских цен, 2010 г.=100	Израиль	2008	94.2
Индекс потребительских цен, 2010 г.=100	Израиль	2009	97.4
Индекс потребительских цен, 2010 г.=100	Израиль	2010	100.0
Индекс потребительских цен, 2010 г.=100	Израиль	2011	103.5
Индекс потребительских цен, 2010 г.=100	Израиль	2012	105.2
Индекс потребительских цен, 2010 г.=100	Израиль	2013	106.9
Индекс потребительских цен, 2010 г.=100	Израиль	2014	107.4
Индекс потребительских цен, 2010 г.=100	Израиль	2015	106.7
Индекс потребительских цен, 2010 г.=100	Израиль	2016	106.2
Индекс потребительских цен, 2010 г.=100	Израиль	2017	106.4
Индекс потребительских цен, 2010 г.=100	Израиль	2018	107.3
Индекс потребительских цен, 2010 г.=100	Израиль	2019	108.2
Индекс потребительских цен, 2010 г.=100	Израиль	2020	107.5
Индекс потребительских цен, 2010 г.=100	Израиль	2021	109.2
Индекс потребительских цен, 2010 г.=100	Израиль	2022	113.9
Индекс потребительских цен, 2010 г.=100	Ирландия	1990	..
Индекс потребительских цен, 2010 г.=100	Ирландия	1991	..
Индекс потребительских цен, 2010 г.=100	Ирландия	1992	..
Индекс потребительских цен, 2010 г.=100	Ирландия	1993	..
Индекс потребительских цен, 2010 г.=100	Ирландия	1994	..
Индекс потребительских цен, 2010 г.=100	Ирландия	1995	..
Индекс потребительских цен, 2010 г.=100	Ирландия	1996	..
Индекс потребительских цен, 2010 г.=100	Ирландия	1997	71.3
Индекс потребительских цен, 2010 г.=100	Ирландия	1998	73.0
Индекс потребительских цен, 2010 г.=100	Ирландия	1999	74.2
Индекс потребительских цен, 2010 г.=100	Ирландия	2000	78.4
Индекс потребительских цен, 2010 г.=100	Ирландия	2001	82.2
Индекс потребительских цен, 2010 г.=100	Ирландия	2002	86.0
Индекс потребительских цен, 2010 г.=100	Ирландия	2003	89.0
Индекс потребительских цен, 2010 г.=100	Ирландия	2004	90.9
Индекс потребительских цен, 2010 г.=100	Ирландия	2005	93.1
Индекс потребительских цен, 2010 г.=100	Ирландия	2006	96.8
Индекс потребительских цен, 2010 г.=100	Ирландия	2007	101.5
Индекс потребительских цен, 2010 г.=100	Ирландия	2008	105.7
Индекс потребительских цен, 2010 г.=100	Ирландия	2009	100.9
Индекс потребительских цен, 2010 г.=100	Ирландия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Ирландия	2011	102.6
Индекс потребительских цен, 2010 г.=100	Ирландия	2012	104.3
Индекс потребительских цен, 2010 г.=100	Ирландия	2013	104.8
Индекс потребительских цен, 2010 г.=100	Ирландия	2014	105.0
Индекс потребительских цен, 2010 г.=100	Ирландия	2015	104.7
Индекс потребительских цен, 2010 г.=100	Ирландия	2016	104.7
Индекс потребительских цен, 2010 г.=100	Ирландия	2017	105.1
Индекс потребительских цен, 2010 г.=100	Ирландия	2018	105.6
Индекс потребительских цен, 2010 г.=100	Ирландия	2019	106.6
Индекс потребительских цен, 2010 г.=100	Ирландия	2020	106.2
Индекс потребительских цен, 2010 г.=100	Ирландия	2021	108.7
Индекс потребительских цен, 2010 г.=100	Ирландия	2022	117.2
Индекс потребительских цен, 2010 г.=100	Исландия	1990	40.0
Индекс потребительских цен, 2010 г.=100	Исландия	1991	42.7
Индекс потребительских цен, 2010 г.=100	Исландия	1992	44.4
Индекс потребительских цен, 2010 г.=100	Исландия	1993	46.2
Индекс потребительских цен, 2010 г.=100	Исландия	1994	46.9
Индекс потребительских цен, 2010 г.=100	Исландия	1995	47.7
Индекс потребительских цен, 2010 г.=100	Исландия	1996	48.8
Индекс потребительских цен, 2010 г.=100	Исландия	1997	49.6
Индекс потребительских цен, 2010 г.=100	Исландия	1998	50.5
Индекс потребительских цен, 2010 г.=100	Исландия	1999	52.1
Индекс потребительских цен, 2010 г.=100	Исландия	2000	54.7
Индекс потребительских цен, 2010 г.=100	Исландия	2001	58.2
Индекс потребительских цен, 2010 г.=100	Исландия	2002	61.3
Индекс потребительских цен, 2010 г.=100	Исландия	2003	62.5
Индекс потребительских цен, 2010 г.=100	Исландия	2004	64.5
Индекс потребительских цен, 2010 г.=100	Исландия	2005	67.1
Индекс потребительских цен, 2010 г.=100	Исландия	2006	71.6
Индекс потребительских цен, 2010 г.=100	Исландия	2007	75.2
Индекс потребительских цен, 2010 г.=100	Исландия	2008	84.7
Индекс потребительских цен, 2010 г.=100	Исландия	2009	94.9
Индекс потребительских цен, 2010 г.=100	Исландия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Исландия	2011	104.0
Индекс потребительских цен, 2010 г.=100	Исландия	2012	109.4
Индекс потребительских цен, 2010 г.=100	Исландия	2013	113.6
Индекс потребительских цен, 2010 г.=100	Исландия	2014	116.0
Индекс потребительских цен, 2010 г.=100	Исландия	2015	117.8
Индекс потребительских цен, 2010 г.=100	Исландия	2016	119.8
Индекс потребительских цен, 2010 г.=100	Исландия	2017	122.0
Индекс потребительских цен, 2010 г.=100	Исландия	2018	125.2
Индекс потребительских цен, 2010 г.=100	Исландия	2019	129.0
Индекс потребительских цен, 2010 г.=100	Исландия	2020	132.7
Индекс потребительских цен, 2010 г.=100	Исландия	2021	138.6
Индекс потребительских цен, 2010 г.=100	Исландия	2022	150.1
Индекс потребительских цен, 2010 г.=100	Испания	1990	51.9
Индекс потребительских цен, 2010 г.=100	Испания	1991	55.0
Индекс потребительских цен, 2010 г.=100	Испания	1992	58.2
Индекс потребительских цен, 2010 г.=100	Испания	1993	60.9
Индекс потребительских цен, 2010 г.=100	Испания	1994	63.7
Индекс потребительских цен, 2010 г.=100	Испания	1995	66.7
Индекс потребительских цен, 2010 г.=100	Испания	1996	69.1
Индекс потребительских цен, 2010 г.=100	Испания	1997	70.4
Индекс потребительских цен, 2010 г.=100	Испания	1998	71.8
Индекс потребительских цен, 2010 г.=100	Испания	1999	73.4
Индекс потребительских цен, 2010 г.=100	Испания	2000	75.9
Индекс потребительских цен, 2010 г.=100	Испания	2001	78.6
Индекс потребительских цен, 2010 г.=100	Испания	2002	81.1
Индекс потребительских цен, 2010 г.=100	Испания	2003	83.5
Индекс потребительских цен, 2010 г.=100	Испания	2004	86.1
Индекс потребительских цен, 2010 г.=100	Испания	2005	89.0
Индекс потребительских цен, 2010 г.=100	Испания	2006	92.1
Индекс потребительских цен, 2010 г.=100	Испания	2007	94.7
Индекс потребительских цен, 2010 г.=100	Испания	2008	98.5
Индекс потребительских цен, 2010 г.=100	Испания	2009	98.2
Индекс потребительских цен, 2010 г.=100	Испания	2010	100.0
Индекс потребительских цен, 2010 г.=100	Испания	2011	103.2
Индекс потребительских цен, 2010 г.=100	Испания	2012	105.7
Индекс потребительских цен, 2010 г.=100	Испания	2013	107.2
Индекс потребительских цен, 2010 г.=100	Испания	2014	107.0
Индекс потребительских цен, 2010 г.=100	Испания	2015	106.5
Индекс потребительских цен, 2010 г.=100	Испания	2016	106.3
Индекс потребительских цен, 2010 г.=100	Испания	2017	108.4
Индекс потребительских цен, 2010 г.=100	Испания	2018	110.2
Индекс потребительских цен, 2010 г.=100	Испания	2019	111.0
Индекс потребительских цен, 2010 г.=100	Испания	2020	110.6
Индекс потребительских цен, 2010 г.=100	Испания	2021	114.0
Индекс потребительских цен, 2010 г.=100	Испания	2022	123.6
Индекс потребительских цен, 2010 г.=100	Италия	1990	56.0
Индекс потребительских цен, 2010 г.=100	Италия	1991	59.5
Индекс потребительских цен, 2010 г.=100	Италия	1992	62.6
Индекс потребительских цен, 2010 г.=100	Италия	1993	65.4
Индекс потребительских цен, 2010 г.=100	Италия	1994	68.0
Индекс потребительских цен, 2010 г.=100	Италия	1995	71.6
Индекс потребительских цен, 2010 г.=100	Италия	1996	74.4
Индекс потребительских цен, 2010 г.=100	Италия	1997	76.0
Индекс потребительских цен, 2010 г.=100	Италия	1998	77.4
Индекс потребительских цен, 2010 г.=100	Италия	1999	78.7
Индекс потребительских цен, 2010 г.=100	Италия	2000	80.7
Индекс потребительских цен, 2010 г.=100	Италия	2001	83.0
Индекс потребительских цен, 2010 г.=100	Италия	2002	85.0
Индекс потребительских цен, 2010 г.=100	Италия	2003	87.3
Индекс потребительских цен, 2010 г.=100	Италия	2004	89.2
Индекс потребительских цен, 2010 г.=100	Италия	2005	91.0
Индекс потребительских цен, 2010 г.=100	Италия	2006	92.9
Индекс потребительских цен, 2010 г.=100	Италия	2007	94.6
Индекс потребительских цен, 2010 г.=100	Италия	2008	97.7
Индекс потребительских цен, 2010 г.=100	Италия	2009	98.5
Индекс потребительских цен, 2010 г.=100	Италия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Италия	2011	102.8
Индекс потребительских цен, 2010 г.=100	Италия	2012	105.9
Индекс потребительских цен, 2010 г.=100	Италия	2013	107.2
Индекс потребительских цен, 2010 г.=100	Италия	2014	107.4
Индекс потребительских цен, 2010 г.=100	Италия	2015	107.5
Индекс потребительских цен, 2010 г.=100	Италия	2016	107.4
Индекс потребительских цен, 2010 г.=100	Италия	2017	108.7
Индекс потребительских цен, 2010 г.=100	Италия	2018	110.0
Индекс потребительских цен, 2010 г.=100	Италия	2019	110.6
Индекс потребительских цен, 2010 г.=100	Италия	2020	110.5
Индекс потребительских цен, 2010 г.=100	Италия	2021	112.5
Индекс потребительских цен, 2010 г.=100	Италия	2022	121.8
Индекс потребительских цен, 2010 г.=100	Казахстан	1990	..
Индекс потребительских цен, 2010 г.=100	Казахстан	1991	..
Индекс потребительских цен, 2010 г.=100	Казахстан	1992	..
Индекс потребительских цен, 2010 г.=100	Казахстан	1993	0.4
Индекс потребительских цен, 2010 г.=100	Казахстан	1994	7.4
Индекс потребительских цен, 2010 г.=100	Казахстан	1995	20.5
Индекс потребительских цен, 2010 г.=100	Казахстан	1996	28.5
Индекс потребительских цен, 2010 г.=100	Казахстан	1997	33.5
Индекс потребительских цен, 2010 г.=100	Казахстан	1998	35.9
Индекс потребительских цен, 2010 г.=100	Казахстан	1999	38.9
Индекс потребительских цен, 2010 г.=100	Казахстан	2000	43.7
Индекс потребительских цен, 2010 г.=100	Казахстан	2001	47.4
Индекс потребительских цен, 2010 г.=100	Казахстан	2002	50.2
Индекс потребительских цен, 2010 г.=100	Казахстан	2003	53.4
Индекс потребительских цен, 2010 г.=100	Казахстан	2004	57.1
Индекс потребительских цен, 2010 г.=100	Казахстан	2005	61.5
Индекс потребительских цен, 2010 г.=100	Казахстан	2006	66.8
Индекс потребительских цен, 2010 г.=100	Казахстан	2007	74.1
Индекс потребительских цен, 2010 г.=100	Казахстан	2008	86.8
Индекс потребительских цен, 2010 г.=100	Казахстан	2009	93.1
Индекс потребительских цен, 2010 г.=100	Казахстан	2010	100.0
Индекс потребительских цен, 2010 г.=100	Казахстан	2011	108.4
Индекс потребительских цен, 2010 г.=100	Казахстан	2012	114.0
Индекс потребительских цен, 2010 г.=100	Казахстан	2013	120.6
Индекс потребительских цен, 2010 г.=100	Казахстан	2014	128.7
Индекс потребительских цен, 2010 г.=100	Казахстан	2015	137.3
Индекс потребительских цен, 2010 г.=100	Казахстан	2016	157.2
Индекс потребительских цен, 2010 г.=100	Казахстан	2017	169.0
Индекс потребительских цен, 2010 г.=100	Казахстан	2018	179.1
Индекс потребительских цен, 2010 г.=100	Казахстан	2019	188.5
Индекс потребительских цен, 2010 г.=100	Казахстан	2020	201.2
Индекс потребительских цен, 2010 г.=100	Казахстан	2021	217.4
Индекс потребительских цен, 2010 г.=100	Казахстан	2022	250.1
Индекс потребительских цен, 2010 г.=100	Канада	1990	67.3
Индекс потребительских цен, 2010 г.=100	Канада	1991	71.0
Индекс потребительских цен, 2010 г.=100	Канада	1992	72.1
Индекс потребительских цен, 2010 г.=100	Канада	1993	73.4
Индекс потребительских цен, 2010 г.=100	Канада	1994	73.6
Индекс потребительских цен, 2010 г.=100	Канада	1995	75.2
Индекс потребительских цен, 2010 г.=100	Канада	1996	76.4
Индекс потребительских цен, 2010 г.=100	Канада	1997	77.6
Индекс потребительских цен, 2010 г.=100	Канада	1998	78.4
Индекс потребительских цен, 2010 г.=100	Канада	1999	79.7
Индекс потребительских цен, 2010 г.=100	Канада	2000	81.9
Индекс потребительских цен, 2010 г.=100	Канада	2001	84.0
Индекс потребительских цен, 2010 г.=100	Канада	2002	85.8
Индекс потребительских цен, 2010 г.=100	Канада	2003	88.2
Индекс потребительских цен, 2010 г.=100	Канада	2004	89.9
Индекс потребительских цен, 2010 г.=100	Канада	2005	91.8
Индекс потребительских цен, 2010 г.=100	Канада	2006	93.7
Индекс потребительских цен, 2010 г.=100	Канада	2007	95.7
Индекс потребительских цен, 2010 г.=100	Канада	2008	98.0
Индекс потребительских цен, 2010 г.=100	Канада	2009	98.2
Индекс потребительских цен, 2010 г.=100	Канада	2010	100.0
Индекс потребительских цен, 2010 г.=100	Канада	2011	102.9
Индекс потребительских цен, 2010 г.=100	Канада	2012	104.5
Индекс потребительских цен, 2010 г.=100	Канада	2013	105.4
Индекс потребительских цен, 2010 г.=100	Канада	2014	107.5
Индекс потребительских цен, 2010 г.=100	Канада	2015	108.7
Индекс потребительских цен, 2010 г.=100	Канада	2016	110.2
Индекс потребительских цен, 2010 г.=100	Канада	2017	112.0
Индекс потребительских цен, 2010 г.=100	Канада	2018	114.5
Индекс потребительских цен, 2010 г.=100	Канада	2019	116.8
Индекс потребительских цен, 2010 г.=100	Канада	2020	117.6
Индекс потребительских цен, 2010 г.=100	Канада	2021	121.6
Индекс потребительских цен, 2010 г.=100	Канада	2022	129.9
Индекс потребительских цен, 2010 г.=100	Кипр	1990	53.2
Индекс потребительских цен, 2010 г.=100	Кипр	1991	55.9
Индекс потребительских цен, 2010 г.=100	Кипр	1992	59.6
Индекс потребительских цен, 2010 г.=100	Кипр	1993	62.4
Индекс потребительских цен, 2010 г.=100	Кипр	1994	65.3
Индекс потребительских цен, 2010 г.=100	Кипр	1995	67.0
Индекс потребительских цен, 2010 г.=100	Кипр	1996	69.0
Индекс потребительских цен, 2010 г.=100	Кипр	1997	71.5
Индекс потребительских цен, 2010 г.=100	Кипр	1998	73.1
Индекс потребительских цен, 2010 г.=100	Кипр	1999	74.3
Индекс потребительских цен, 2010 г.=100	Кипр	2000	77.5
Индекс потребительских цен, 2010 г.=100	Кипр	2001	79.0
Индекс потребительских цен, 2010 г.=100	Кипр	2002	81.2
Индекс потребительских цен, 2010 г.=100	Кипр	2003	84.6
Индекс потребительских цен, 2010 г.=100	Кипр	2004	86.6
Индекс потребительских цен, 2010 г.=100	Кипр	2005	88.8
Индекс потребительских цен, 2010 г.=100	Кипр	2006	90.8
Индекс потребительских цен, 2010 г.=100	Кипр	2007	93.0
Индекс потребительских цен, 2010 г.=100	Кипр	2008	97.3
Индекс потребительских цен, 2010 г.=100	Кипр	2009	97.6
Индекс потребительских цен, 2010 г.=100	Кипр	2010	100.0
Индекс потребительских цен, 2010 г.=100	Кипр	2011	103.3
Индекс потребительских цен, 2010 г.=100	Кипр	2012	105.8
Индекс потребительских цен, 2010 г.=100	Кипр	2013	105.3
Индекс потребительских цен, 2010 г.=100	Кипр	2014	103.9
Индекс потребительских цен, 2010 г.=100	Кипр	2015	101.7
Индекс потребительских цен, 2010 г.=100	Кипр	2016	100.3
Индекс потребительских цен, 2010 г.=100	Кипр	2017	100.8
Индекс потребительских цен, 2010 г.=100	Кипр	2018	102.2
Индекс потребительских цен, 2010 г.=100	Кипр	2019	102.5
Индекс потребительских цен, 2010 г.=100	Кипр	2020	101.9
Индекс потребительских цен, 2010 г.=100	Кипр	2021	104.4
Индекс потребительских цен, 2010 г.=100	Кипр	2022	113.1
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1990	..
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1991	..
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1992	..
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1993	..
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1994	..
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1995	16.7
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1996	22.1
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1997	27.3
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1998	30.1
Индекс потребительских цен, 2010 г.=100	Кыргызстан	1999	40.9
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2000	49.0
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2001	52.4
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2002	53.5
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2003	55.1
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2004	57.4
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2005	59.8
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2006	63.2
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2007	69.6
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2008	86.7
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2009	92.6
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2010	100.0
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2011	116.6
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2012	119.9
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2013	127.8
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2014	137.4
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2015	146.4
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2016	146.9
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2017	151.6
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2018	153.9
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2019	155.7
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2020	165.5
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2021	185.2
Индекс потребительских цен, 2010 г.=100	Кыргызстан	2022	211.0
Индекс потребительских цен, 2010 г.=100	Латвия	1990	..
Индекс потребительских цен, 2010 г.=100	Латвия	1991	..
Индекс потребительских цен, 2010 г.=100	Латвия	1992	13.0
Индекс потребительских цен, 2010 г.=100	Латвия	1993	24.8
Индекс потребительских цен, 2010 г.=100	Латвия	1994	33.8
Индекс потребительских цен, 2010 г.=100	Латвия	1995	42.2
Индекс потребительских цен, 2010 г.=100	Латвия	1996	49.6
Индекс потребительских цен, 2010 г.=100	Латвия	1997	53.8
Индекс потребительских цен, 2010 г.=100	Латвия	1998	56.3
Индекс потребительских цен, 2010 г.=100	Латвия	1999	57.7
Индекс потребительских цен, 2010 г.=100	Латвия	2000	59.2
Индекс потребительских цен, 2010 г.=100	Латвия	2001	60.6
Индекс потребительских цен, 2010 г.=100	Латвия	2002	61.8
Индекс потребительских цен, 2010 г.=100	Латвия	2003	63.6
Индекс потребительских цен, 2010 г.=100	Латвия	2004	67.6
Индекс потребительских цен, 2010 г.=100	Латвия	2005	72.1
Индекс потребительских цен, 2010 г.=100	Латвия	2006	76.9
Индекс потребительских цен, 2010 г.=100	Латвия	2007	84.6
Индекс потребительских цен, 2010 г.=100	Латвия	2008	97.6
Индекс потребительских цен, 2010 г.=100	Латвия	2009	101.1
Индекс потребительских цен, 2010 г.=100	Латвия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Латвия	2011	104.4
Индекс потребительских цен, 2010 г.=100	Латвия	2012	106.7
Индекс потребительских цен, 2010 г.=100	Латвия	2013	106.7
Индекс потребительских цен, 2010 г.=100	Латвия	2014	107.4
Индекс потребительских цен, 2010 г.=100	Латвия	2015	107.6
Индекс потребительских цен, 2010 г.=100	Латвия	2016	107.7
Индекс потребительских цен, 2010 г.=100	Латвия	2017	110.8
Индекс потребительских цен, 2010 г.=100	Латвия	2018	113.7
Индекс потребительских цен, 2010 г.=100	Латвия	2019	116.9
Индекс потребительских цен, 2010 г.=100	Латвия	2020	117.1
Индекс потребительских цен, 2010 г.=100	Латвия	2021	121.0
Индекс потребительских цен, 2010 г.=100	Латвия	2022	141.9
Индекс потребительских цен, 2010 г.=100	Литва	1990	..
Индекс потребительских цен, 2010 г.=100	Литва	1991	..
Индекс потребительских цен, 2010 г.=100	Литва	1992	..
Индекс потребительских цен, 2010 г.=100	Литва	1993	21.3
Индекс потребительских цен, 2010 г.=100	Литва	1994	36.7
Индекс потребительских цен, 2010 г.=100	Литва	1995	51.3
Индекс потребительских цен, 2010 г.=100	Литва	1996	63.9
Индекс потребительских цен, 2010 г.=100	Литва	1997	69.6
Индекс потребительских цен, 2010 г.=100	Литва	1998	73.1
Индекс потребительских цен, 2010 г.=100	Литва	1999	73.7
Индекс потребительских цен, 2010 г.=100	Литва	2000	74.4
Индекс потребительских цен, 2010 г.=100	Литва	2001	75.4
Индекс потребительских цен, 2010 г.=100	Литва	2002	75.6
Индекс потребительских цен, 2010 г.=100	Литва	2003	74.8
Индекс потребительских цен, 2010 г.=100	Литва	2004	75.6
Индекс потребительских цен, 2010 г.=100	Литва	2005	77.7
Индекс потребительских цен, 2010 г.=100	Литва	2006	80.6
Индекс потребительских цен, 2010 г.=100	Литва	2007	85.2
Индекс потребительских цен, 2010 г.=100	Литва	2008	94.5
Индекс потребительских цен, 2010 г.=100	Литва	2009	98.7
Индекс потребительских цен, 2010 г.=100	Литва	2010	100.0
Индекс потребительских цен, 2010 г.=100	Литва	2011	104.1
Индекс потребительских цен, 2010 г.=100	Литва	2012	107.4
Индекс потребительских цен, 2010 г.=100	Литва	2013	108.5
Индекс потребительских цен, 2010 г.=100	Литва	2014	108.6
Индекс потребительских цен, 2010 г.=100	Литва	2015	107.6
Индекс потребительских цен, 2010 г.=100	Литва	2016	108.6
Индекс потребительских цен, 2010 г.=100	Литва	2017	112.6
Индекс потребительских цен, 2010 г.=100	Литва	2018	115.7
Индекс потребительских цен, 2010 г.=100	Литва	2019	118.4
Индекс потребительских цен, 2010 г.=100	Литва	2020	119.8
Индекс потребительских цен, 2010 г.=100	Литва	2021	125.4
Индекс потребительских цен, 2010 г.=100	Литва	2022	150.1
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1990	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1991	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1992	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1993	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1994	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1995	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1996	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1997	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1998	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	1999	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2000	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2001	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2002	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2003	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2004	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2005	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2006	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2007	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2008	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2009	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2010	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2011	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2012	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2013	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2014	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2015	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2016	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2017	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2018	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2019	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2020	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2021	..
Индекс потребительских цен, 2010 г.=100	Лихтенштейн	2022	..
Индекс потребительских цен, 2010 г.=100	Люксембург	1990	64.5
Индекс потребительских цен, 2010 г.=100	Люксембург	1991	66.5
Индекс потребительских цен, 2010 г.=100	Люксембург	1992	68.6
Индекс потребительских цен, 2010 г.=100	Люксембург	1993	71.1
Индекс потребительских цен, 2010 г.=100	Люксембург	1994	72.6
Индекс потребительских цен, 2010 г.=100	Люксембург	1995	74.0
Индекс потребительских цен, 2010 г.=100	Люксембург	1996	75.1
Индекс потребительских цен, 2010 г.=100	Люксембург	1997	76.1
